[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
973,582086,C,1,213
974,582304,C,1,218
975,582519,C,1,215
976,582734,C,1,215
977,583009,C,1,275
978,583457,F,0,448
979,583667,F,0,210
980,583868,F,1,201
981,584015,C,0,147
982,584071,F,1,56
983,584625,F,1,554
984,584837,F,0,212
985,585042,F,0,205
986,585242,F,0,200
987,585443,F,1,201
988,585645,F,1,202
989,585868,F,1,223
990,586068,F,0,200
991,586284,F,1,216
992,586485,F,1,201
993,586693,F,1,208
994,586894,F,0,201
995,587116,F,0,222
996,587317,F,0,201
997,587532,F,1,215
998,587732,F,1,200
999,587944,F,1,212
1000,588153,F,0,209
1001,588360,F,1,207
1002,588523,C,1,163
1003,588567,F,1,44
1004,589140,F,1,573
1005,589348,F,0,208
1006,589548,F,1,200
1007,589748,F,0,200
1008,589958,F,0,210
1009,590207,F,0,249
1010,590422,F,0,215
1011,591515,C,1,1093
1012,591718,C,0,203
1013,591927,C,0,209
1014,592128,C,0,201
1015,592350,C,0,222
1016,592551,C,1,201
1017,592751,C,0,200
1018,592952,C,0,201
1019,593661,C,0,709
1020,594138,C,0,477
1021,594560,C,0,422
1022,594957,C,0,397
1023,595326,C,0,369
1024,595748,C,0,422
1025,595948,C,0,200
1026,596148,C,1,200
1027,596350,C,0,202
1028,596896,F,0,546
1029,597096,F,0,200
1030,597297,F,0,201
1031,597497,F,0,200
1032,597535,C,0,38
1033,597703,F,1,168
1034,597735,C,0,32
1035,598042,C,1,307
1036,598098,F,1,56
1037,598670,C,1,572
1038,598885,C,1,215
1039,599095,C,1,210
1040,599317,C,1,222
1041,599530,C,1,213
1042,600136,F,0,606
1043,600352,F,1,216
1044,600555,F,0,203
1045,600773,F,1,218
1046,600973,F,1,200
1047,601173,F,0,200
1048,601382,F,0,209
1049,601582,F,0,200
1050,601789,F,0,207
1051,601989,F,0,200
1052,602681,F,1,692
1053,602987,F,1,306
1054,603189,F,0,202
1055,603391,F,1,202
1056,603592,F,1,201
1057,603800,F,0,208
1058,604000,F,0,200
1059,604202,F,0,202
1060,604415,F,1,213
1061,604626,F,1,211
1062,604840,F,1,214
1063,605043,F,0,203
1064,605244,F,0,201
1065,605446,F,0,202
1066,605647,F,0,201
1067,605867,F,1,220
1068,606067,F,0,200
1069,606267,F,0,200
1070,606471,F,1,204
1071,606551,C,1,80
1072,606675,F,1,124
1073,606764,C,1,89
1074,606878,F,1,114
1075,606986,C,1,108
1076,607142,F,1,156
1077,607373,F,0,231
1078,608218,C,1,845
1079,608422,C,0,204
1080,608622,C,0,200
1081,608833,C,0,211
1082,609033,C,0,200
1083,609234,C,0,201
1084,609435,C,0,201
1085,609636,C,1,201
1086,609838,C,0,202
1087,610042,C,0,204
1088,610252,C,0,210
1089,610472,C,0,220
1090,610787,C,0,315
1091,611705,C,0,918
1092,612042,C,0,337
1093,612396,C,0,354
1094,612602,C,0,206
1095,612802,C,1,200
1096,613008,C,0,206
1097,613575,F,0,567
1098,613778,F,0,203
1099,613980,F,0,202
1100,614180,F,0,200
1101,614380,F,0,200
1102,614596,F,0,216
1103,615074,C,1,478
1104,615291,C,1,217
1105,615494,C,1,203
1106,616162,C,1,668
1107,616399,C,1,237
1108,616796,F,0,397
1109,617005,F,1,209
1110,617205,F,1,200
1111,617405,F,0,200
1112,617626,F,1,221
1113,617827,F,0,201
1114,618027,F,0,200
1115,618234,F,1,207
